summonerId1Team1,summonerElo1Team1,latence1Team1,duration1Team1,temps_exécution1Team1,summonerId2Team1,summonerElo2Team1,latence2Team1,duration2Team1,temps_exécution2Team1,summonerId3Team1,summonerElo3Team1,latence3Team1,duration3Team1,temps_exécution3Team1,summonerId4Team1,summonerElo4Team1,latence4Team1,duration4Team1,temps_exécution4Team1,summonerId5Team1,summonerElo5Team1,latence5Team1,duration5Team1,temps_exécution5Team1,summonerId1Team2,summonerElo1Team2,latence1Team2,duration1Team2,temps_exécution1Team2,summonerId2Team2,summonerElo2Team2,latence2Team2,duration2Team2,temps_exécution2Team2,summonerId3Team2,summonerElo3Team2,latence3Team2,duration3Team2,temps_exécution3Team2,summonerId4Team2,summonerElo4Team2,latence4Team2,duration4Team2,temps_exécution4Team2,summonerId5Team2,summonerElo5Team2,latence5Team2,duration5Team2,temps_exécution5Team2
211614,1131,45,0,23,263082,1495,54,0,9,260360,892,31,0,7,225040,2045,18,0,5,257974,1828,40,0,17,273634,674,54,0,0,223841,1001,29,0,20,185388,864,37,0,16,158286,1621,62,0,21,230147,1954,40,0,4
195702,891,24,0,13,276855,1651,40,0,13,222246,1380,59,0,14,278798,1409,48,0,0,159836,1159,35,0,18,170678,918,65,0,12,175107,995,47,0,10,276263,1770,45,0,16,270768,2106,31,0,13,164970,1426,66,0,18
157032,528,39,0,4,161144,1901,24,0,26,160473,714,42,0,15,167957,361,35,0,0,203232,884,29,0,12,276669,659,51,0,18,223710,731,66,0,18,275144,514,43,0,6,186118,1696,57,0,3,197194,2297,17,0,5
213876,195,28,0,1,245021,1846,22,0,14,198718,2239,48,0,16,263171,2145,73,0,13,222119,1004,24,0,17,171660,198,86,0,0,190332,2158,19,0,15,245977,1367,37,0,8,190683,1739,30,0,14,285261,1300,65,0,6
172010,1348,24,0,9,184607,1797,23,0,4,222540,1033,29,0,0,153858,1150,23,0,1,210157,978,16,0,2,166461,1154,56,0,2,232400,1497,77,0,1,218904,899,135,0,3,202449,1363,36,0,0,200920,1527,37,0,1
196267,2000,57,0,18,174753,1668,14,0,11,217604,254,22,0,17,238638,950,103,0,13,271530,1793,38,0,8,161400,980,35,0,18,218291,729,23,0,0,221048,2048,41,0,8,251434,1620,36,0,17,253244,1382,56,0,6
157810,1347,48,0,0,275992,1379,69,0,5,158915,472,70,0,17,179106,1953,35,0,23,243334,753,36,0,0,189352,1336,49,0,13,199529,692,29,0,21,250779,1113,97,0,12,197504,1033,41,0,7,258672,1975,42,0,14
206170,1036,28,0,4,221909,767,26,0,20,177798,1594,62,0,10,158131,933,48,0,1,160110,1868,42,0,8,238881,1447,48,0,1,173606,865,27,0,8,171394,1872,34,0,0,283926,1118,87,0,8,215032,644,38,0,1
283219,1761,31,0,0,196946,857,100,0,31,220227,1458,59,0,16,204375,1037,31,0,26,209758,1218,29,0,17,199402,2599,38,0,0,238580,162,81,0,31,242867,1003,26,0,0,187052,1992,29,0,19,166555,1540,35,0,21
207140,829,28,0,7,280352,1494,21,0,22,207119,955,19,0,22,245761,341,45,0,22,185067,1878,44,0,2,195453,986,50,0,12,286872,404,29,0,22,233664,1158,48,0,1,232080,1306,42,0,17,268201,136,30,0,3
253342,910,34,0,11,167965,2201,46,0,0,248312,986,21,0,13,159785,663,49,0,25,240555,1193,47,0,23,159994,733,101,0,11,158034,1035,44,0,11,215344,695,55,0,1,271156,1154,75,0,7,154794,853,61,0,18
240103,922,50,0,8,188802,2198,74,0,14,285421,1035,29,0,0,288534,1060,61,0,11,163334,840,64,0,9,198592,819,67,0,10,163451,884,81,0,3,281634,611,72,0,7,208360,1646,42,0,13,203934,1767,50,0,13
215014,1114,94,0,12,218415,429,49,0,0,217262,1947,22,0,7,222332,1179,26,0,6,166734,1297,50,0,10,274708,729,29,0,3,229450,896,77,0,3,217513,1506,73,0,10,196509,1176,61,0,0,238959,1288,16,0,7
187239,618,51,0,18,282869,1462,42,0,0,187388,1616,69,0,6,250209,1231,29,0,26,215762,1044,34,0,27,225469,1335,38,0,26,218207,1304,42,0,15,179075,972,72,0,5,160846,1611,39,0,9,266805,834,63,0,12
264589,1361,52,0,19,252478,2143,67,0,24,255004,430,32,0,8,255338,2358,37,0,6,266977,1028,25,0,0,221440,2506,47,0,13,194141,1962,22,0,11,189803,987,75,0,18,195272,1147,31,0,19,267691,2106,78,0,1
232041,618,65,0,17,183885,1510,80,0,13,163726,816,37,0,0,177148,1322,43,0,2,235524,1997,33,0,16,164518,756,26,0,6,275281,1884,54,0,12,258918,1678,49,0,7,164061,1346,28,0,10,165015,213,52,0,14
222728,1729,31,0,4,219630,942,27,0,7,171255,953,78,0,1,212639,1934,33,0,0,271361,1319,32,0,12,174969,1968,49,0,12,264256,1219,53,0,8,188766,2045,16,0,10,204582,926,22,0,7,235828,311,41,0,1
263182,1634,47,0,10,163556,1909,39,0,3,218013,572,62,0,12,187995,963,32,0,1,219875,1164,39,0,12,264873,1195,47,0,10,210020,536,31,0,0,190217,1357,32,0,11,278895,2176,90,0,11,238699,1055,40,0,10
163714,884,25,0,13,225116,595,25,0,0,234166,1015,58,0,13,268536,1806,30,0,22,262460,541,81,0,27,222781,909,43,0,9,214311,895,55,0,5,180941,981,73,0,10,227630,1801,81,0,4,284854,486,62,0,2
248704,910,74,0,19,173939,2158,53,0,6,212074,1395,27,0,15,217394,799,60,0,3,225712,364,81,0,7,168553,1561,45,0,14,214911,334,42,0,19,162977,997,43,0,3,191560,1197,51,0,0,270412,933,63,0,9
222798,2203,121,0,1,166135,864,49,0,14,156954,1832,42,0,0,217163,1672,33,0,14,183762,389,46,0,1,234014,1320,88,0,8,230080,2015,21,0,6,176852,2261,96,0,7,189725,1605,42,0,9,213773,1203,39,0,8
235532,733,71,0,23,245277,1467,54,0,11,272905,1649,60,0,0,291400,901,52,0,3,269144,1323,32,0,3,264212,1481,45,0,18,248902,942,104,0,22,208825,698,41,0,22,285002,1646,25,0,19,273803,1550,36,0,6
269783,1669,24,0,5,163372,754,20,0,15,211819,1534,42,0,0,189403,1893,45,0,5,183018,836,43,0,19,235871,824,41,0,11,240159,2687,49,0,8,204600,852,47,0,16,269590,392,51,0,12,222309,1763,37,0,0
272912,1474,46,0,7,252778,419,50,0,1,202710,1188,22,0,3,164861,847,29,0,7,229113,782,34,0,8,198506,1015,57,0,1,158661,1302,62,0,0,230751,674,26,0,0,258049,2100,69,0,1,186847,813,37,0,1
226519,1121,80,0,29,291492,824,28,0,8,228204,2521,62,0,5,250765,1584,25,0,21,205747,1888,26,0,9,184237,2236,56,0,20,240803,2529,14,0,0,233744,986,81,0,9,252501,1925,29,0,9,286481,1748,62,0,9
189051,824,93,0,5,267421,1787,40,0,0,244278,1279,16,0,24,216676,861,98,0,17,208603,303,59,0,28,224930,860,33,0,24,247435,1031,22,0,8,293258,1044,57,0,1,227907,784,43,0,17,255202,1509,95,0,24
